tweet,clean_tweet
"@KotaNusantara sangat bagus
#IbukotaNegara
#IKN #SemangatNusantara",bagus
"@KotaNusantara tepat dan sasaran
#IbukotaNegara
#IKN #SemangatNusantara",sasar
"5 Alasan pindah ibukota negara
#IbukotaNegara
#IKN
#SemangatNusantara https://t.co/MDn2jFMELD",alas pindah ibukota negara
"@KotaNusantara IKN sealu dihati
#IbukotaNegara
#IKN #SemangatNusantara",ikn alu hati
"@KotaNusantara kerennn sekali 
#IbukotaNegara
#IKN #SemangatNusantara",kerennn
"@KotaNusantara tetap untuk menjadi yang terdepan
#IbukotaNegara
#IKN #SemangatNusantara",depan
"@KotaNusantara yukkk semakin mudah
#IbukotaNegara
#IKN #SemangatNusantara",yukkk mudah
"5 alasan pindah ibu kota negara

#IbukotaNegara
#IKN
#SemangatNusantara https://t.co/vQyuUYSMAu",alas pindah kota negara
"@KotaNusantara tetap dukung IKN
#IbukotaNegara
#IKN #SemangatNusantara",dukung ikn
"Ketua Dewan Eksekutif angkat bicara tentamg IKN baru

#IbukotaNegara
#IKN
#SemangatNusantara https://t.co/mnJyNxZrDV",ketua dewan eksekutif angkat bicara tentamg ikn
"Ketua Dewan Eksekutif Mahasiswa STAI Balikpapan Mendukung Pemindahan IKN Untuk Pembangunan dan Pendidikan

#IbukotaNegara
#IKN
#SemangatNusantara https://t.co/Z5ODsTOFdN",ketua dewan eksekutif mahasiswa stai balikpapan dukung pindah ikn bangun didik
"Ini 5 Alasan Pindah Ibu Kota Negara

#IbukotaNegara
#IKN
#SemangatNusantara https://t.co/mzq4k7QasL",alas pindah kota negara
"@KotaNusantara selalu dukung IKN
#IbukotaNegara
#IKN #SemangatNusantara",dukung ikn
"@KotaNusantara yukkkk dukung IKN
#IbukotaNegara
#IKN #SemangatNusantara",yukkkk dukung ikn
"@KotaNusantara dikareankan jakarta sudah padat
#IbukotaNegara
#IKN #SemangatNusantara",dikareankan jakarta padat
"@KotaNusantara harus segera di percepat
#IbukotaNegara
#IKN #SemangatNusantara",cepat
"@KotaNusantara wahhh gasabar nihh
#IbukotaNegara
#IKN #SemangatNusantara",wahhh gasabar nihh
"5 alasan pindah Ibu Kota Negara

#IbukotaNegara
#IKN
#SemangatNusantara https://t.co/gZZ32knR02",alas pindah kota negara
"5 Alasan Pindah Ibu Kota Negara 
Pemindahan Ibu Kota Negara (IKN) dari Jakarta ke Kalimantan Timur akan segera dilakukan.
 
#IbukotaNegara
#IKN
#SemangatNusantara https://t.co/aDGBraSEFp",alas pindah kota negara pindah kota negara ikn jakarta kalimantan timur
"5 Alasan Pindah Ibu Kota Negara

#IbukotaNegara
#IKN
#SemangatNusantara https://t.co/cPSyogbxa0",alas pindah kota negara
