Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,9,0.31,0.61,0.35096030104891146
100% Corpus,9,0.31,0.9099999999999999,0.35988580312018664
100% Corpus,9,0.31,symmetric,0.3596806585291896
100% Corpus,9,0.61,0.01,0.36657443173867477
100% Corpus,9,0.61,0.31,0.3584031085871955
100% Corpus,9,0.61,0.61,0.3682046628564773
100% Corpus,9,0.61,0.9099999999999999,0.4140062523013588
100% Corpus,9,0.61,symmetric,0.35656814702393325
100% Corpus,9,0.9099999999999999,0.01,0.39034195212074163
100% Corpus,9,0.9099999999999999,0.31,0.3174536816625808
100% Corpus,9,0.9099999999999999,0.61,0.44836283273886035
100% Corpus,9,0.9099999999999999,0.9099999999999999,0.4045998548889956
100% Corpus,9,0.9099999999999999,symmetric,0.3349579876627689
100% Corpus,9,symmetric,0.01,0.3966319756753301
100% Corpus,9,symmetric,0.31,0.38141968127440257
100% Corpus,9,symmetric,0.61,0.3692276812594233
100% Corpus,9,symmetric,0.9099999999999999,0.3616398401538969
100% Corpus,9,symmetric,symmetric,0.3885866375089939
100% Corpus,9,asymmetric,0.01,0.3390564659691647
100% Corpus,9,asymmetric,0.31,0.3785670606514674
100% Corpus,9,asymmetric,0.61,0.4199091225026064
100% Corpus,9,asymmetric,0.9099999999999999,0.3998648300589387
100% Corpus,9,asymmetric,symmetric,0.34202686959627393
100% Corpus,10,0.01,0.01,0.33941340392277625
100% Corpus,10,0.01,0.31,0.34870179367827164
100% Corpus,10,0.01,0.61,0.37618720400601274
100% Corpus,10,0.01,0.9099999999999999,0.4051017404821102
100% Corpus,10,0.01,symmetric,0.36051732545070464
100% Corpus,10,0.31,0.01,0.2817744267244737
100% Corpus,10,0.31,0.31,0.40607616423384096
100% Corpus,10,0.31,0.61,0.42238602305899153
100% Corpus,10,0.31,0.9099999999999999,0.41088317532058694
100% Corpus,10,0.31,symmetric,0.2779384552520532
100% Corpus,10,0.61,0.01,0.38294810606561674
100% Corpus,10,0.61,0.31,0.3572932287139394
100% Corpus,10,0.61,0.61,0.37806831106856736
100% Corpus,10,0.61,0.9099999999999999,0.44073644405732504
100% Corpus,10,0.61,symmetric,0.3522201898520259
100% Corpus,10,0.9099999999999999,0.01,0.41089451908408214
100% Corpus,10,0.9099999999999999,0.31,0.3698961790680397
100% Corpus,10,0.9099999999999999,0.61,0.46836496538397066
100% Corpus,10,0.9099999999999999,0.9099999999999999,0.3990286509969155
100% Corpus,10,0.9099999999999999,symmetric,0.35110521684058754
100% Corpus,10,symmetric,0.01,0.3349082755104153
100% Corpus,10,symmetric,0.31,0.3414245260371885
100% Corpus,10,symmetric,0.61,0.3535000086878628
100% Corpus,10,symmetric,0.9099999999999999,0.38795910682609736
100% Corpus,10,symmetric,symmetric,0.35438764274958756
100% Corpus,10,asymmetric,0.01,0.31453041541524845
100% Corpus,10,asymmetric,0.31,0.3949675197630413
100% Corpus,10,asymmetric,0.61,0.3986905966949287
100% Corpus,10,asymmetric,0.9099999999999999,0.3821996127873398
100% Corpus,10,asymmetric,symmetric,0.3075128289358082
