Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,4,0.61,0.01,0.43838463447330883
75% Corpus,4,0.61,0.31,0.42657315804016294
75% Corpus,4,0.61,0.61,0.3812932889762143
75% Corpus,4,0.61,0.9099999999999999,0.38639030327807744
75% Corpus,4,0.61,symmetric,0.4414377036052909
75% Corpus,4,0.9099999999999999,0.01,0.4330922932425551
75% Corpus,4,0.9099999999999999,0.31,0.42143163741983347
75% Corpus,4,0.9099999999999999,0.61,0.41868061855740946
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.3865015011429733
75% Corpus,4,0.9099999999999999,symmetric,0.44179421074248965
75% Corpus,4,symmetric,0.01,0.4691076017157807
75% Corpus,4,symmetric,0.31,0.4469279694935857
75% Corpus,4,symmetric,0.61,0.39789152159670954
75% Corpus,4,symmetric,0.9099999999999999,0.44184513526153596
75% Corpus,4,symmetric,symmetric,0.45470985172676215
75% Corpus,4,asymmetric,0.01,0.4390044478277143
75% Corpus,4,asymmetric,0.31,0.3853497883492045
75% Corpus,4,asymmetric,0.61,0.3703680659192793
75% Corpus,4,asymmetric,0.9099999999999999,0.3491599149994682
75% Corpus,4,asymmetric,symmetric,0.39896766106654147
75% Corpus,5,0.01,0.01,0.43371008627912017
75% Corpus,5,0.01,0.31,0.4275279507230231
75% Corpus,5,0.01,0.61,0.42339375822250264
75% Corpus,5,0.01,0.9099999999999999,0.4110768859655596
75% Corpus,5,0.01,symmetric,0.38063993343885755
75% Corpus,5,0.31,0.01,0.4466397700744603
75% Corpus,5,0.31,0.31,0.4198457208744573
75% Corpus,5,0.31,0.61,0.399655059174469
75% Corpus,5,0.31,0.9099999999999999,0.3857114848239446
75% Corpus,5,0.31,symmetric,0.43722536278752855
75% Corpus,5,0.61,0.01,0.4164714501644755
75% Corpus,5,0.61,0.31,0.3796799337776159
75% Corpus,5,0.61,0.61,0.3755303651203567
75% Corpus,5,0.61,0.9099999999999999,0.3844168874701164
75% Corpus,5,0.61,symmetric,0.3938572602851585
75% Corpus,5,0.9099999999999999,0.01,0.42036431181988937
75% Corpus,5,0.9099999999999999,0.31,0.3699476684396646
75% Corpus,5,0.9099999999999999,0.61,0.36026011988582696
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.35898658408909634
75% Corpus,5,0.9099999999999999,symmetric,0.3769835957960829
75% Corpus,5,symmetric,0.01,0.4162656776352893
75% Corpus,5,symmetric,0.31,0.3901650718620865
75% Corpus,5,symmetric,0.61,0.4105241502901847
75% Corpus,5,symmetric,0.9099999999999999,0.3751034550669501
75% Corpus,5,symmetric,symmetric,0.38205981776382886
75% Corpus,5,asymmetric,0.01,0.4439669327216027
75% Corpus,5,asymmetric,0.31,0.4809089276553338
75% Corpus,5,asymmetric,0.61,0.48351178008428486
75% Corpus,5,asymmetric,0.9099999999999999,0.4295358579966383
75% Corpus,5,asymmetric,symmetric,0.49265062833027107
75% Corpus,6,0.01,0.01,0.3966861214178814
75% Corpus,6,0.01,0.31,0.3974536383633824
75% Corpus,6,0.01,0.61,0.33342833948843315
75% Corpus,6,0.01,0.9099999999999999,0.33012264667469743
75% Corpus,6,0.01,symmetric,0.39335210598491077
75% Corpus,6,0.31,0.01,0.3568623643621039
75% Corpus,6,0.31,0.31,0.37012678292370205
75% Corpus,6,0.31,0.61,0.35164385483066446
75% Corpus,6,0.31,0.9099999999999999,0.32876235491749467
75% Corpus,6,0.31,symmetric,0.3594622301111307
75% Corpus,6,0.61,0.01,0.34519625795541703
75% Corpus,6,0.61,0.31,0.3492619715419499
75% Corpus,6,0.61,0.61,0.2869760077899065
75% Corpus,6,0.61,0.9099999999999999,0.30177776347004664
75% Corpus,6,0.61,symmetric,0.3293052085781278
75% Corpus,6,0.9099999999999999,0.01,0.3445421389355489
75% Corpus,6,0.9099999999999999,0.31,0.2899775541527602
75% Corpus,6,0.9099999999999999,0.61,0.3080338688881523
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.37787836749128845
75% Corpus,6,0.9099999999999999,symmetric,0.33010761885338596
75% Corpus,6,symmetric,0.01,0.36678243649305964
75% Corpus,6,symmetric,0.31,0.35911611359270795
75% Corpus,6,symmetric,0.61,0.3587274814875483
75% Corpus,6,symmetric,0.9099999999999999,0.3662181407615643
75% Corpus,6,symmetric,symmetric,0.35217655929448916
75% Corpus,6,asymmetric,0.01,0.40555567788869223
75% Corpus,6,asymmetric,0.31,0.38330772540826685
75% Corpus,6,asymmetric,0.61,0.32191864522427066
75% Corpus,6,asymmetric,0.9099999999999999,0.3056979379169049
75% Corpus,6,asymmetric,symmetric,0.4388384066534013
75% Corpus,7,0.01,0.01,0.3268993910763716
75% Corpus,7,0.01,0.31,0.38499164495372534
75% Corpus,7,0.01,0.61,0.3878653150318955
75% Corpus,7,0.01,0.9099999999999999,0.3960058915399114
75% Corpus,7,0.01,symmetric,0.34746031365659336
75% Corpus,7,0.31,0.01,0.35020740097875164
75% Corpus,7,0.31,0.31,0.353537580113387
75% Corpus,7,0.31,0.61,0.3188682644028676
75% Corpus,7,0.31,0.9099999999999999,0.32583017288860266
75% Corpus,7,0.31,symmetric,0.3675886289249326
75% Corpus,7,0.61,0.01,0.3702805734865624
75% Corpus,7,0.61,0.31,0.34289753296945663
75% Corpus,7,0.61,0.61,0.33249401946234153
75% Corpus,7,0.61,0.9099999999999999,0.3338022211323122
75% Corpus,7,0.61,symmetric,0.3667712654416343
75% Corpus,7,0.9099999999999999,0.01,0.3838162062603216
75% Corpus,7,0.9099999999999999,0.31,0.285506354223442
75% Corpus,7,0.9099999999999999,0.61,0.2873978162992059
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.4021455331834712
75% Corpus,7,0.9099999999999999,symmetric,0.32772558558574644
75% Corpus,7,symmetric,0.01,0.3385450782037707
75% Corpus,7,symmetric,0.31,0.32868894780180724
75% Corpus,7,symmetric,0.61,0.38652089940836926
75% Corpus,7,symmetric,0.9099999999999999,0.3818481517747846
75% Corpus,7,symmetric,symmetric,0.3017906315318987
75% Corpus,7,asymmetric,0.01,0.35886149675535217
75% Corpus,7,asymmetric,0.31,0.37579569628209264
75% Corpus,7,asymmetric,0.61,0.3712960961799954
75% Corpus,7,asymmetric,0.9099999999999999,0.38830520456822565
75% Corpus,7,asymmetric,symmetric,0.3907950699316091
75% Corpus,8,0.01,0.01,0.37867322386381486
75% Corpus,8,0.01,0.31,0.35636435973677666
75% Corpus,8,0.01,0.61,0.35008920895064244
75% Corpus,8,0.01,0.9099999999999999,0.3302086274756687
75% Corpus,8,0.01,symmetric,0.37808475596226754
75% Corpus,8,0.31,0.01,0.35615318243010635
75% Corpus,8,0.31,0.31,0.3609561653578879
75% Corpus,8,0.31,0.61,0.38058062991432373
75% Corpus,8,0.31,0.9099999999999999,0.38405175368120126
75% Corpus,8,0.31,symmetric,0.3504400942229936
75% Corpus,8,0.61,0.01,0.36065827035790693
75% Corpus,8,0.61,0.31,0.3447206512203703
75% Corpus,8,0.61,0.61,0.34988279261270894
75% Corpus,8,0.61,0.9099999999999999,0.3576600169140106
75% Corpus,8,0.61,symmetric,0.34081330669606064
75% Corpus,8,0.9099999999999999,0.01,0.3748304982462527
